一 ichi "one; best"
上昇 joushou "rising, ascending, climbing"
急上昇 kyuujoushou "sudden rise, steep climb, zoom"
昇格 shoukaku "raising of status, promotion, advance"
松 matsu "pine tree (Pinus spp.); highest (of a three-tier ranking system)"
浜松 hamamatsu "Hamamatsu (city)"
小松 komatsu "small pine, young pine"
沼 numa "marsh, swamp, wetland, bog, pond; being hooked (on a video game, TV show, etc.)"
泥沼 doronuma "bog, marsh, swamp, quagmire, morass; quandary, dire situation from which one cannot extricate oneself, imbroglio"
沼田 numata "marshy rice field or paddy"
垂直 suichoku "vertical; perpendicular"
垂れ tare "sauce (esp. soy or mirin-based dipping sauce); hanging, something hanging (flap, lappet, etc.)"
垂れ流し tarenagashi "incontinence, soiling oneself, wetting one's pants; discharge (e.g. of contaminants), effluence"
自炊 jisui "cooking for oneself, cooking one's own food, doing one's own cooking, making food oneself, self-catering; scanning a book or magazine to create an ebook by oneself"
炊飯 suihan "rice cooking, boiling rice"
炊き出し takidashi "emergency rice feeding, distribution of rice after an emergency"
中枢 chuusuu "centre, center, pivot, mainstay, nucleus, backbone, central figure, pillar, key man"
枢機卿 suukikyou "cardinal (Catholic church)"
枢軸 suujiku "axle, pivot"
制作 seisaku "work (film, book); production, creation, turning (something) out, development"
制限 seigen "restriction, restraint, limitation, limit"
制度 seido "system, institution, organization, organisation"
姓 sei "surname, family name; hereditary title (used in ancient Japan to denote rank and political standing)"
百姓 hyakushou "farmer, peasant, country bumpkin; farming"
同姓 dousei "same surname"
遠征 ensei "expedition, (military) campaign; tour (by a sports team, performer, etc.), visit"
征服 seifuku "conquest, subjugation, overcoming"
征伐 seibatsu "conquest, subjugation, overcoming; chastisement, punishment, punitive expedition"
性 saga "one's nature, one's destiny; custom, tradition, habit, convention"
女性 josei "woman, female; feminine gender"
男性 dansei "man, male; masculine gender"
青 ao "blue, azure; green"
青年 seinen "youth, young man"
青い aoi "blue, azure; green"
一斉 issei "simultaneous, all at once"
斉唱 seishou "singing or chanting in unison"
斉 sei "Qi (kingdom in China during the Spring and Autumn Period and the Period of the Warring States), Ch'i"
昔 mukashi "olden days, former"
昔ながら mukashinagara "the same as it was long ago, unchanged, traditional"
一昔 hitomukashi "ages, long time, decade, the past ten years"
分析 bunseki analysis
解析 kaiseki "analysis, analytical study; parsing, parse"
透析 touseki dialysis
拙宅 settaku "one's home, one's humble abode"
稚拙 chisetsu "unskillful, childish, immature, naive, artless, clumsy, crude"
拙い tsutanai "poor-quality, shoddy, crude; unskillful, inexpert, maladroit, inept, foolish, clumsy"
狙い nerai aim
狙う nerau "to aim at; to be after (something), to have an eye on"
狙撃 sogeki "shooting, sniping"
阻止 soshi "obstruction, check, hindrance, prevention, impediment, interdiction, preemption, blocking"
阻害 sogai "obstruction, inhibition"
阻む habamu "to keep someone from doing, to stop, to prevent, to check, to hinder, to obstruct, to oppose, to thwart"
卒業 sotsugyou "graduation, completion (e.g. of a course); moving on (from), outgrowing something, leaving (a group, company, etc.), quitting"
卒 sotsu "low-ranking soldier"
卒業生 sotsugyousei "graduate, alumnus"
食卓 shokutaku "dining table"
卓 taku "table, desk; counter for tables, desks, etc."
卓球 takkyuu "table tennis, ping-pong"
開拓 kaitaku "reclamation (e.g. wasteland), cultivation, development; pioneering, opening up (e.g. new market), breaking new ground, trailblazing"
拓く hiraku "to open (e.g. path), to clear (the way), to break up (e.g. land)"
干拓 kantaku "land reclamation (from sea)"
担当 tantou "being in charge (of an area of responsibility), being responsible (for a work role, etc.)"
負担 futan "burden, load, responsibility; bearing (a cost, responsibility, etc.), shouldering"
担保 tanpo "security, guarantee, collateral (e.g. mortgage)"
知識 chishiki "knowledge, information"
知る shiru "to be aware of, to know, to be conscious of, to cognize, to cognise; to notice, to feel"
お知らせ oshirase "notice, notification"
宇宙 uchuu "universe, cosmos, space"
宇宙船 uchuusen spaceship
宙 chuu "space, air, midair; (from) memory, (by) heart"
忠実 chuujitsu "faithful, devoted, loyal, honest, true"
忠 chuu "loyalty, devotion, fidelity, faithfulness; inspector of the Imperial Prosecuting and Investigating Office (ritsuryo system)"
忠誠 chuusei "loyalty, sincerity, allegiance, fidelity, integrity"
抽象 chuushou abstraction
抽選 chuusen "lottery, raffle, drawing (of lots)"
抽出 chuushutsu "extraction, abstraction; selection (from a group), sampling"
注意 chuui "caution, being careful, attention (heed), warning, advice"
注目 chuumoku "notice, attention, observation"
注文 chuumon "order, request"
長い nagai "long (distance); long (time), lengthy"
長 chou "head, chief, leader, elder; merit, strong point"
成長 seichou "growth, development, growing up, becoming an adult; growth (of a company, the economy, etc.)"
正直 shoujiki "honest, frank, candid, straightforward; honestly, frankly"
直接 chokusetsu "direct, immediate, personal, firsthand"
直後 chokugo "immediately following"
坪 tsubo tsubo
坪数 tsubosuu "floor space, area (in tsubo)"
設定 settei "establishment, creation, posing (a problem), setting (movie, novel, etc.), scene; options setting, preference settings, configuration, setup"
予定 yotei "plans, arrangement, schedule, program, programme, expectation, estimate"
決定 kettei "decision, determination"
底 soko "bottom, sole"
徹底的 tetteiteki "thorough, exhaustive, complete"
徹底 tettei "thoroughness, completeness, consistency; thorough enforcement, seeing to it that a policy, etc. is carried out without exception"
抵抗 teikou "resistance, opposition, standing up to; reluctance, repulsion, repugnance"
大抵 taitei "mostly, ordinarily, usually, generally; probably"
抵触 teishoku "infringement (of a law, treaty, etc.), contravention, running afoul; conflict (with a theory, claim, etc.), inconsistency, incompatibility, contradiction"
官邸 kantei "official residence (e.g. of the prime minister)"
邸 tei "residence, mansion"
邸宅 teitaku "mansion, residence"
泥 doro "mud, slush, (wet) dirt, mire"
泥棒 dorobou "thief, burglar, robber; theft, burglary, robbery"
泥沼 doronuma "bog, marsh, swamp, quagmire, morass; quandary, dire situation from which one cannot extricate oneself, imbroglio"
的 teki "-like, typical"
目的 mokuteki "purpose, goal, aim, objective, intention"
比較的 hikakuteki "comparatively, relatively"
更迭 koutetsu "change (of personnel), reshuffle (e.g. of a cabinet), shake-up, dismissal (e.g. of a minister), replacement"
特典 tokuten "privilege, special favor, special favour, benefit, prerogative, perk, amenity"
典型 tenkei "type, pattern, model, epitome, exemplar, archetype, perfect example"
古典 koten "classic (work, esp. book), the classics"
店 mise "store, shop, establishment, restaurant"
店舗 tenpo "shop, store"
店員 ten'in "employee (of a store), shop assistant, clerk, salesperson"
嫉妬 shitto "jealousy, envy"
妬み netami "jealousy, envy"
妬む netamu "to be jealous of, to envy, to begrudge"
東京 toukyou Tokyo
東 azuma "my spouse"
東北 touhoku "north-east; Tōhoku (northernmost six prefectures of Honshu), Tohoku"
到着 touchaku arrival
到達 toutatsu "reaching, attaining, arrival"
到底 toutei "by no means, not at all, (cannot) possibly, utterly, absolutely"
毒 doku "poison, toxicant; harm, evil influence"
中毒 chuudoku "poisoning; addiction"
気の毒 kinodoku "pitiful, unfortunate, poor, miserable, wretched; unpardonable, regrettable"
突然 totsuzen "abrupt, sudden, unexpected"
突入 totsunyuu "rushing into, breaking into, storming; plunging into (war, etc.), embarking on (a new venture)"
衝突 shoutotsu "collision, crash, running into; conflict, quarrel, clashing"
届く todoku "to reach, to arrive, to get through, to get at; to be attentive, to pay attention"
届ける todokeru "to deliver, to forward, to send; to report, to notify, to file notice (to the authorities), to give notice, to register"
届 todoke "report, notification, registration"
奈良 nara "Nara (city)"
奈落 naraku "Naraka, hell, hades; very bottom, the end, worst possible circumstances"
牛乳 gyuunyuu "(cow's) milk"
乳 chichi "milk; breast"
豆乳 tounyuu "soy milk"
残念 zannen "deplorable, regrettable, disappointing, vexing, unfortunate"
記念 kinen "commemoration, celebration, honoring the memory of something, turning something into a memento, memory"
概念 gainen "general idea, concept, notion"
波 nami "wave; ups and downs"
津波 tsunami "tsunami, tidal wave"
電波 denpa "radio wave, reception, signal; saying strange things"
拝見 haiken "seeing, looking at"
参拝 sanpai "visit to a shrine or temple, paying homage at a shrine or temple"
礼拝 reihai "worship (esp. Christian), adoration, divine service; worship (esp. Buddhist and Shinto)"
杯 sakazuki "sake cup, cup for alcoholic beverages"
精一杯 seiippai "the best one can do, one's best effort; with all one's might, to the best of one's ability"
乾杯 kanpai "cheers, bottoms-up, prosit; toast, drink (in celebration or in honor of something)"
拍手 hakushu "clapping hands, applause"
拍子 hyoushi "(musical) time, tempo, beat, rhythm; the moment, the instance, chance"
心拍 shinpaku heartbeat
泊 haku "counter for nights of a stay"
宿泊 shukuhaku "accommodation, lodging"
泊まり tomari "overnight stay, stopover; inn, hotel"
迫力 hakuryoku "impressiveness, impact, force, intensity, appeal, strength, punch, edge, vigor"
圧迫 appaku "pressure; oppression, suppression"
迫る semaru "to approach, to draw near, to be imminent; to press (someone for something), to urge, to compel"
板 ita "board, plank; sheet (of metal), plate (of glass), pane, slab"
看板 kanban "signboard, sign, billboard, hoarding, doorplate; draw, attraction, feature, highlight, spokesman, figurehead"
掲示板 keijiban "bulletin board, display board, notice board; electronic bulletin board, BBS"
版 han "edition, version, printing, impression, implementation (e.g. software); plate, block, cast"
出版 shuppan publication
版画 hanga "woodcut, woodblock print, art print"
彼 are "that (indicating something distant from both speaker and listener (in space, time or psychologically), or something understood without naming it directly); that person"
彼女 kanojo "she, her; girlfriend"
彼ら karera "they, them"
披露 hirou "announcement, presentation, demonstration, displaying, showing, introducing, exhibiting, unveiling, revealing, showcasing, performing, giving a rendition"
披露宴 hirouen "reception (e.g. wedding), banquet, celebration, party"
お披露目 ohirome "unveiling, debut, introduction"
肥満 himan "corpulence, fatness, obesity"
肥料 hiryou "manure, fertilizer, fertiliser"
肥大 hidai "swelling, enlargement, becoming fat; hypertrophy"
非常 hijou "emergency; extraordinary, unusual"
是非 zehi "certainly, without fail; right and wrong, pros and cons"
非 hi "fault, error, mistake; going poorly, being disadvantageous, being unfavorable"
分泌 bunpitsu secretion
泌尿器 hinyouki "urinary organs"
内分泌 naibunpitsu "endocrine; incretion, internal secretion"
表示 hyouji "indication, expression, showing, manifestation, demonstration; display, displaying"
表現 hyougen "expression, presentation; representation, notation"
発表 happyou "announcement, publication, presenting, statement, communique, making known, breaking (news story), expressing (one's opinion), releasing, unveiling"
苗 nae "seedling, young plant; rice seedling"
早苗 sanae "rice seedling"
苗木 naegi "seedling, sapling, young tree"
政府 seifu "government, administration"
府 fu "(metropolitan) prefecture (of Osaka and Kyoto); the centre or seat (of) (center)"
都道府県 todoufuken "administrative divisions of Japan: Tokyo-to, Hokkai-do, Osaka-fu, Kyoto-fu and remaining prefectures"
怖い kowai "scary, frightening, eerie, dreadful"
恐怖 kyoufu "fear, dread, dismay, terror, horror, scare, panic"
怖 kowa "frightening, terrifying"
岐阜 gifu "Gifu (city)"
侮辱 bujoku "insult, affront, slight, contempt (e.g. of court)"
侮蔑 bubetsu "scorn, disdain, contempt, slight"
侮る anadoru "to disdain, to look down on, to make light of, to hold in contempt, to scorn, to despise"
武器 buki "weapon, arms, ordnance; weapon (something used to gain an advantage), asset"
武装 busou "arms, armament"
武将 bushou "military commander"
服 fuku "clothes (esp. Western clothes); counter for doses of medicine, gulps of tea, drags of a cigarette, etc."
洋服 youfuku "Western-style clothes (cf. traditional Japanese clothes)"
服装 fukusou "garments, attire"
沸騰 futtou "boiling, seething; becoming heated (e.g. debate), excitement, agitation, fermentation"
沸く waku "to grow hot (e.g. water), to boil; to get excited (at), to erupt (in applause, cheering, etc.), to be in a ferment, to take place energetically"
沸き waki boiling
物 mono "thing, object, article, stuff, substance; one's things, possessions, property, belongings"
物語 monogatari "tale, story, legend"
物質 busshitsu "material, substance; matter"
合併 gappei "merger (of companies, towns, etc.), combination, union, amalgamation, consolidation, coalition, fusion, annexation, affiliation, incorporation"
併用 heiyou "using together (jointly), used at the same time"
併設 heisetsu "joint establishment (esp. schools of different levels or different courses of study), establishment as an annex (e.g. of a school), juxtaposition, placing side by side"
並ぶ narabu "to line up, to stand in a line; to rival, to match, to equal"
並び narabi "line, row, rank, list"
並 nami "average, medium, common, ordinary; mid-grade (item), regular grade"
歩 ho "step, stride; counter for steps"
散歩 sanpo "walk, stroll"
歩く aruku "to walk"
奉仕 houshi "service, ministry, attendance, church work; offering goods at a reduced price, providing a service for free"
奉納 hounou "dedication, offering, presentation, oblation"
信奉 shinpou "belief, faith, adherence, espousal"
宝 takara treasure
重宝 chouhou "convenient, useful, handy, helpful; priceless treasure"
宝石 houseki "gem, jewel, precious stone"
抱え kakae "armful; employee"
抱っこ dakko "hug, carrying in one's arms (a baby, pet, doll, etc.)"
抱える kakaeru "to hold or carry under or in the arms; to have (esp. problems, debts, etc.)"
放送 housou "broadcast, broadcasting"
放射線 houshasen radiation
放射能 houshanou radioactivity
方法 houhou "method, process, manner, way, means, technique"
法 hou "law, act, principle; method"
法人 houjin "corporate body, corporation, (legal) person, (juridical) person"
泡 awa "bubble, foam, froth, head on beer"
気泡 kihou "(air) bubble (esp. in a liquid)"
発泡 happou foaming
暖房 danbou "(indoor) heating"
工房 koubou "workshop, studio, atelier"
官房 kanbou "government secretariat"
脂肪 shibou "fat, grease, blubber, lard, suet"
脂肪酸 shibousan "fatty acid"
皮下脂肪 hikashibou "subcutaneous fat"
牧場 bokujou "farm (livestock), ranch (US), station (Aus, NZ); pasture land, meadow, grazing land"
牧師 bokushi "pastor, minister, clergyman, reverend"
牧 maki "pasture, grazing land"
奔走 honsou "running about, making every effort, being busily engaged (in something), good offices"
奔放 honpou "wild, uninhibited, extravagant, rampant"
奔馬 honba "runaway horse, galloping horse"
妹 imouto "younger sister"
姉妹 shimai sisters
義妹 gimai "sister-in-law (spouse's younger sister or younger brothers's wife); younger stepsister, younger adopted sister, non-blood-related younger sister"
枚 mai "counter for flat objects (e.g. sheets of paper)"
枚数 maisuu "the number of flat things; win-loss difference which influences the ranking of wrestlers"
枚挙 maikyo enumeration
枕 makura "pillow, bolster; introduction (e.g. to a rakugo story), lead-in"
枕元 makuramoto "bedside, near one's pillow"
枕詞 makurakotoba "pillow word (decorative word used prefixally in classical Japanese literature); preface, introduction"
抹茶 matcha "matcha, powdered green tea"
抹殺 massatsu "erasure, denial, obliteration, ignoring (an opinion)"
一抹 ichimatsu "(a) touch of, tinge of, wreath (e.g. of smoke); one stroke, one brush"
意味 imi "meaning, significance, sense"
味 aji "flavor, flavour, taste; charm, style"
興味 kyoumi "interest (in something), curiosity (about something), zest (for)"
岬 misaki "cape (on coast)"
命 inochi "life, life force; lifetime, lifespan"
生命 seimei "life, existence"
一生懸命 isshoukenmei "very hard, with utmost effort, with all one's might, for dear life"
説明 setsumei "explanation, exposition"
明日 ashita "tomorrow; near future"
明らか akiraka "obvious, evident, clear, plain"
免許 menkyo "license, permit, licence, certificate"
免疫 men'eki "immunity, immunization, immunisation; being hardened (to), being unaffected (by), being accustomed (to)"
免除 menjo "exemption, exoneration, discharge"
茂み shigemi "thicket, coppice, brushwood"
生い茂る oishigeru "to grow thickly, to be overgrown, to thrive, to grow in abundance"
茂る shigeru "to grow thickly, to be in full leaf, to be rampant, to luxuriate, to be luxurious"
盲点 mouten "blind spot"
盲目 moumoku blindness
盲導犬 moudouken "guide dog for the blind, seeing eye dog"
専門 senmon "speciality, specialty, subject of study, expert, area of expertise"
部門 bumon "division (of a larger group), branch, field, class (subclass), group, category, department"
門 mon "gate; branch of learning based on the teachings of a single master"
夜 yoru "evening, night"
深夜 shin'ya "late at night"
今夜 kon'ya "this evening, tonight"
弥生 yayoi "Yayoi period (ca. 300 BCE - 300 CE), Yayoi culture"
弥勒 miroku "Maitreya (Bodhisattva), Miroku"
阿弥陀 amida "Amitabha (Buddha), Amida"
油 abura oil
醤油 shouyu "soy sauce, shoyu"
石油 sekiyu "oil, petroleum, kerosene"
拉致 rachi "taking captive, carrying away, kidnapping, kidnaping, abduction"
林 hayashi "woods, forest, copse, thicket; bunch, line (of something), collection"
林檎 ringo "apple (fruit); apple tree (Malus pumila)"
森林 shinrin "forest, woods"
例えば tatoeba "for example, for instance, e.g."
例 rei "custom, practice, habit, usual; said, aforementioned"
事例 jirei "example, precedent, case"
炉 ro "hearth, fireplace; furnace, kiln"
炉心 roshin "nuclear reactor core"
暖炉 danro "fireplace, hearth, stove"
昭和 shouwa "Shōwa era (December 25, 1926-January 7, 1989), Showa era"
平和 heiwa "peace, harmony"
違和感 iwakan "uncomfortable feeling, feeling out of place, sense of discomfort; malaise, physical unease"
枠 waku "frame, framework; border, box"
枠組み wakugumi "frame; framework, outline"
大枠 oowaku "general framework"
可哀想 kawaisou "poor, pitiable, pathetic, pitiful"
哀れ aware "pity, sorrow, grief, misery, compassion, pathos; pitiable, pitiful, pathetic, miserable"
哀愁 aishuu "pathos, sorrow, grief"
脅威 kyoui "threat, menace"
権威 ken'i "authority, power, influence"
威力 iryoku "power, might, authority, influence"
為 tame "good, advantage, benefit, welfare; sake, purpose, objective, aim"
行為 koui "act, deed, conduct"
為替 kawase "money order, draft; exchange (e.g. foreign)"
畏敬 ikei "reverence, awe, respect"
畏怖 ifu "awe, fear, fright"
胃 i "stomach; Chinese ""stomach"" constellation (one of the 28 mansions)"
胃腸 ichou "stomach and intestines, gastrointestinal tract, digestive organs"
胃袋 ibukuro "stomach, breadbasket, inner man; dietary needs"
茨 ibara "thorny shrub; wild rose, briar"
嗚咽 oetsu "sobbing, weeping, fit of crying"
耳鼻咽喉科 jibiinkouka "otorhinolaryngology, otolaryngology, ear, nose and throat department"
咽喉 inkou throat
婚姻 kon'in "marriage, matrimony"
映画 eiga "movie, film"
映像 eizou "image (on a screen), picture (e.g. on a TV); video, film, footage"
反映 han'ei "reflection (light, image, situation, attitude, etc.), reflecting; influence, application (e.g. of an update)"
栄養 eiyou "nutrition, nourishment"
栄養素 eiyouso nutrient
繁栄 han'ei "prospering, prosperity, thriving, flourishing"
免疫 men'eki "immunity, immunization, immunisation; being hardened (to), being unaffected (by), being accustomed (to)"
疫学 ekigaku "epidemiology, the study of epidemics"
検疫 ken'eki "quarantine, medical inspection"
怨念 onnen "deep-seated grudge, hatred"
怨恨 enkon "enmity, grudge"
私怨 shien "personal grudge, personal enmity"
屋 ya "(something) shop; somebody who sells (something) or works as (something)"
部屋 heya "room, chamber; apartment, flat, pad"
名古屋 nagoya "Nagoya (city)"
卸売 oroshiuri "wholesale, wholesaling"
卸 oroshi wholesale
棚卸 tanaoroshi "stocktaking, inventory count"
音 oto "sound, noise, report; note"
音楽 ongaku music
音声 onsei "voice, speech, sound of a voice; sound (e.g. of a TV)"
科学 kagaku science
科 ka "department, section, faculty, school, arm; course (of study), branch of study, specialization"
教科書 kyoukasho "textbook, coursebook, schoolbook"
架空 kakuu "aerial, overhead; fictitious, imaginary, fanciful, fabricated"
十字架 juujika "cross (for crucifixion), the Cross (of Christ)"
高架 kouka "elevated (structure), overhead"
後悔 koukai "regret, repentance, remorse"
悔しい kuyashii "vexing, annoying, frustrating, regrettable, mortifying"
悔い kui "regret, repentance"
海外 kaigai "foreign, abroad, overseas"
海 umi "sea, ocean, waters"
北海道 hokkaidou "Hokkaido (island, prefectural-level administrative unit)"
世界 sekai "the world, society, the universe; sphere, circle, world"
業界 gyoukai "business world, business circles, (the) industry"
世界中 sekaijuu "around the world, throughout the world"
皆さん minasan "all, everyone, everybody"
皆 minna "all, everyone, everybody; everything"
皆様 minasama everyone
垣根 kakine "hedge, fence"
石垣 ishigaki "stone wall"
垣間見る kaimamiru "to take a peep at, to catch a glimpse of"
柿 kaki "kaki, Japanese persimmon (Diospyros kaki)"
柿の木 kakinoki "Japanese persimmon (Diospyros kaki), Chinese persimmon, kaki"
干し柿 hoshigaki "dried persimmons"
革命 kakumei "revolution; 58th year of the sexagenary cycle (in Onmyōdō)"
改革 kaikaku "reform, reformation, reorganization"
革新 kakushin "reform, innovation"
一括 ikkatsu "lumping together, summing up, bundle, lump, batch"
包括 houkatsu "inclusion, complete coverage, comprehensiveness"
総括 soukatsu "summarization, summary, generalization; review (by labour or political movements of past activities, results, etc.)"
生活 seikatsu "living, life (one's daily existence), livelihood"
活動 katsudou "activity (of a person, organization, animal, volcano, etc.), action"
活用 katsuyou "practical use, application; conjugation, inflection"
冠 kanmuri "traditional cap worn by Shinto clergy and courtiers; crown, diadem, coronet"
冠水 kansui "being covered with water (i.e. in a flood), being submerged, being inundated, flooding"
王冠 oukan "crown, diadem; bottle cap"
巻 maki "roll (e.g. of cloth); winding"
巻頭 kantou "beginning (of a book, magazine, etc.), opening page; beginning (of a matter), start"
取り巻く torimaku "to surround, to encircle, to enclose"
看板 kanban "signboard, sign, billboard, hoarding, doorplate; draw, attraction, feature, highlight, spokesman, figurehead"
看護 kango "nursing, (army) nurse"
看病 kanbyou "nursing (a patient)"
世紀 seiki "century; era"
紀行 kikou "traveller's journal, traveler's journal, travelogue"
紀元前 kigenzen "pre-era, BC, BCE"
軌道 kidou "orbit, trajectory; railroad track"
軌跡 kiseki "tire track; traces of a person or thing, path one has taken"
常軌 jouki "normal course (of action), proper course, regular way"
お客様 okyakusama "guest, visitor; customer, client, shopper, spectator, audience, tourist, sightseer, passenger"
客 kyaku "guest, visitor; customer, client, shopper, spectator, audience, tourist, sightseer, passenger"
顧客 kokyaku "customer, client, patron"
逆 gyaku "reverse, opposite; converse (of a hypothesis, etc.)"
逆転 gyakuten "(sudden) change, reversal, turn-around, coming from behind (baseball)"
逆説 gyakusetsu paradox
虐待 gyakutai "abuse, ill-treatment, maltreatment, mistreatment, cruelty"
虐殺 gyakusatsu "atrocity, massive killing"
残虐 zangyaku "cruel, brutal, savage, barbarous"
急 kyuu "sudden, abrupt, unexpected; urgent, pressing"
緊急 kinkyuu "urgency, emergency"
急遽 kyuukyo "hurriedly, in a hurry, in haste"
級 kyuu "class (e.g. school), grade, rank; kyū, kyu"
高級 koukyuu "high class, high grade; high rank, seniority"
同級生 doukyuusei classmate
糾弾 kyuudan "censure, denunciation, (verbal) attack, blaming"
紛糾 funkyuu "complication, confusion, disorder"
海峡 kaikyou "channel (e.g. between two land masses), strait"
峡谷 kyoukoku "gorge, ravine, canyon, glen"
山峡 sankyou "gorge, ravine, gap"
挟む hasamu "to hold between (e.g. one's fingers, chopsticks), to grip (from both sides); to put between, to sandwich between, to insert, to interpose"
板挟み itabasami "being stuck between a rock and a hard place, being in a dilemma, being torn between conflicting demands"
挟み込む hasamikomu "to insert, to put between, to tuck (e.g. fabric into a gap)"
狭い semai "narrow, confined, small, cramped; limited, narrow-minded, confining"
狭 se "narrowness, being cramped, being almost full"
狭間 hazama "interval, space, interstice, threshold; valley, gorge, ravine"
軍 gun "army, force, troops"
軍事 gunji "military affairs"
軍隊 guntai "armed forces, military, troops"
関係 kankei "relation, relationship, connection; participation, involvement, concern"
係 kakari "charge, duty, person in charge, official, clerk; connection, linking"
係る kakaru "to be the work of, to be the result of, to be done by; to concern, to affect, to involve, to relate to"
型 kata "model, type (e.g. of machine, goods, etc.); type, style, pattern"
大型 oogata "large, large-sized, large-scale, big"
小型 kogata "small, small-sized, small-scale, miniature"
契約 keiyaku "contract, compact, agreement"
契機 keiki "opportunity, chance; trigger, cause"
契り chigiri "pledge, vow, promise; (of a man and woman) having sexual relations, having sexual intercourse"
計画 keikaku "plan, project, schedule, scheme, program, programme"
計算 keisan "calculation, reckoning, count; forecast"
設計 sekkei "plan, design, layout"
建物 tatemono building
建築 kenchiku "construction, architecture (of buildings)"
建設 kensetsu "construction, establishment"
研究 kenkyuu "study, research, investigation"
研修 kenshuu "training (esp. in-service), induction course"
研究所 kenkyuusho "research establishment, research institute, laboratory"
県 ken "prefecture (Japan); county (China and Taiwan)"
県内 kennai "within the prefecture"
県民 kenmin "citizen of a prefecture, prefectural citizen"
限り kagiri "limit, limits, bounds; degree, extent, scope"
限定 gentei "limit, restriction"
制限 seigen "restriction, restraint, limitation, limit"
孤独 kodoku "solitude, loneliness, isolation"
孤立 koritsu "isolation, being alone, being friendless"
孤児 koji "orphan; person without friends"
括弧 kakko "parentheses, brackets"
弧 ko arc
事故 jiko "accident, incident, trouble; circumstances, reasons"
何故 naze "why, how"
何故か nazeka "somehow, for some reason, without knowing why"
枯葉 kareha "dead leaf, dry leaves"
枯渇 kokatsu "drying up, running dry; running out, being exhausted, being drained"
木枯らし kogarashi "cold wintry wind"
後 ato "behind, rear; after, later"
最後 saigo "end, conclusion; last, final, latest, most recent"
その後 sonoato "after that, afterwards, thereafter"
侯爵 koushaku "marquis, marquess"
王侯 oukou "king and princes, noble rank"
侯 kou "marquis, lord, daimyo"
厚 atsu thickness
濃厚 noukou "rich (in flavor, color, smell, etc.), thick, dense, strong; very likely, highly possible"
厚み atsumi "thickness; profundity, depth"
恒例 kourei "established practice, custom"
恒久 koukyuu "permanence, perpetuity"
恒常 koujou "constancy, permanence"
洪水 kouzui "flood, flooding"
天皇 tennou "Emperor of Japan"
皇帝 koutei emperor
皇居 koukyo "Imperial Palace (of Japan), imperial residence"
紅茶 koucha "black tea"
紅葉 kouyou "autumn colours, fall colors, leaves changing color (colour); leaves turning red, red leaves"
紅 kurenai "deep red, crimson; rouge, lipstick"
荒れ are "stormy weather, tempest, chaps (of skin)"
荒い arai "rough, wild, violent, rude, coarse, harsh, fierce, heavy (e.g. breathing); immoderate, extravagant, reckless"
荒らし arashi "(Internet) troll; raising havoc, laying waste, disturber"
郊外 kougai "suburb, residential area on the outskirt of a city, commuter belt"
近郊 kinkou "outskirts, environs (of a city), surrounding area, surroundings"
香り kaori "aroma, fragrance, scent, smell"
香港 honkon "Hong Kong, Hongkong"
香 kou incense
拷問 goumon torture
恨み urami "resentment, grudge, malice, bitterness; matter for regret, regret"
痛恨 tsuukon "regretful, sorrowful, bitter; contrition"
恨めしい urameshii "reproachful, hateful, bitter"
調査 chousa "investigation, examination, inquiry, enquiry, survey"
検査 kensa "inspection (e.g. customs, factory), examination, scan (e.g. MRI, PET, etc.)"
審査 shinsa "judging, inspection, examination, investigation, review"
砂糖 satou sugar
砂 suna "sand, grit; gold dust, silver dust"
砂漠 sabaku desert
粉砕 funsai "pulverization, pulverisation, smashing, demolishing"
砕け kudake "familiar (informal) (speech style)"
玉砕 gyokusai "honourable defeat, honorable defeat, honourable death, honorable death, death without surrender; trying but being utterly beaten, being completely rejected when professing one's love"
削除 sakujo "deletion, elimination, erasure, striking out"
削減 sakugen "cut, reduction, curtailment"
削り kezuri "shaving, planing, cutting; shavings, flakes"
昨日 kinou yesterday
昨年 sakunen "last year"
一昨日 ototoi "day before yesterday"
柵 saku "fence, paling, railing"
鉄柵 tessaku "iron railing or fence"
咲く saku "to bloom"
咲き誇る sakihokoru "to be in full bloom, to blossom in full glory, to be in fullness of bloom"
咲かせる sakaseru "to make bloom"
挨拶 aisatsu "greeting, greetings, salutation, salute, polite set phrase used when meeting or parting from somebody; polite set phrase used to express apology, sympathy, congratulations, etc."
姿 sugata "figure, form, shape; appearance, dress, guise"
姿勢 shisei "posture, pose, position, stance, carriage (of the body); attitude, approach, stance"
容姿 youshi "(physical) appearance (of a person), one's face and figure"
思い omoi "thought; imagination, mind, heart"
思う omou "to think, to consider, to believe, to reckon; to think (of doing), to plan (to do)"
不思議 fushigi "wonderful, marvelous, strange, incredible, amazing, curious, miraculous, mysterious"
指定 shitei "designation, specification, assignment, appointment, pointing at"
指摘 shiteki "pointing out, identification"
指導 shidou "guidance, leadership, instruction, direction, coaching; shido (disciplinary action for a minor infringement of the rules of judo)"
施設 shisetsu "institution, establishment, facility"
実施 jisshi "enforcement, implementation, putting into practice, carrying out, operation, working (e.g. working parameters), enactment"
施し hodokoshi "charity, almsgiving"
気持ち kimochi "feeling, sensation, mood; preparedness, readiness, attitude"
持つ motsu "to hold (in one's hand), to take, to carry; to possess, to have, to own"
持ち mochi "hold, charge, keep possession, in charge; wear, durability, life, draw"
室 shitsu "room; Chinese ""Encampment"" constellation (one of the 28 mansions)"
